id,czech,part_of_speech,gender_aspect,genitive,level,category,russian,ukrainian,english,note,image_query,image_url,example_1_cs,example_1_ru,example_1_uk,example_2_cs,example_2_ru,example_2_uk
116,příští,прил.,,,A1,Время и дата,следующий,наступний,next,,,,Příští týden mám dovolenou.,На следующей неделе у меня отпуск.,Наступного тижня в мене відпустка.,Uvidíme se příští pátek.,Увидимся в следующую пятницу.,Побачимося наступної п'ятниці.
117,ráno,сущ.,ср.р.,rána,A1,Время и дата,утро; утром,ранок; вранці,morning,,"morning,sunrise","https://loremflickr.com/640/480/morning,sunrise",Ráno piju kávu.,Утром я пью кофе.,Вранці я п'ю каву.,Dobré ráno!,Доброе утро!,Доброго ранку!
118,rok,сущ.,м.р.,roku,A1,Время и дата,год,рік,year,,"calendar,year","https://loremflickr.com/640/480/calendar,year",Žiju tu už dva roky.,Я живу здесь уже два года.,Я живу тут уже два роки.,Šťastný nový rok!,С Новым годом!,Щасливого Нового року!
119,říjen,сущ.,м.р.,října,A1,Время и дата,октябрь,жовтень,October,,,,V říjnu začíná škola.,В октябре начинается учёба.,У жовтні починається навчання.,Říjen byl letos teplý.,Октябрь в этом году был тёплым.,Жовтень цього року був теплим.
120,sobota,сущ.,ж.р.,soboty,A1,Время и дата,суббота,субота,Saturday,,,,V sobotu spím dlouho.,В субботу я долго сплю.,У суботу я довго сплю.,Sobota je můj volný den.,Суббота — мой выходной.,Субота — мій вихідний.
121,srpen,сущ.,м.р.,srpna,A1,Время и дата,август,серпень,August,,,,V srpnu je největší horko.,В августе самая жара.,У серпні найбільша спека.,Dovolenou mám v srpnu.,Отпуск у меня в августе.,Відпустка в мене в серпні.
122,středa,сущ.,ж.р.,středy,A1,Время и дата,среда,середа,Wednesday,,,,Ve středu mám češtinu.,В среду у меня чешский.,У середу в мене чеська.,Středa je půlka týdne.,Среда — середина недели.,Середа — середина тижня.
123,teď,нареч.,,,A1,Время и дата,сейчас; теперь,зараз; тепер,now,,,,Teď nemám čas.,Сейчас у меня нет времени.,Зараз я не маю часу.,Kde teď bydlíš?,Где ты сейчас живёшь?,Де ти зараз живеш?
124,týden,сущ.,м.р.,týdne,A1,Время и дата,неделя,тиждень,week,,"calendar,week","https://loremflickr.com/640/480/calendar,week",Příští týden odjíždím.,На следующей неделе я уезжаю.,Наступного тижня я від'їжджаю.,Pracuji pět dní v týdnu.,Я работаю пять дней в неделю.,Я працюю п'ять днів на тиждень.
125,už,нареч.,,,A1,Время и дата,уже,вже,already,,,,Už jsem to udělal.,Я это уже сделал.,Я це вже зробив.,Už je pozdě.,Уже поздно.,Уже пізно.
126,únor,сущ.,м.р.,února,A1,Время и дата,февраль,лютий,February,,,,Únor je krátký měsíc.,Февраль — короткий месяц.,Лютий — короткий місяць.,V únoru jsem byl v horách.,В феврале я был в горах.,У лютому я був у горах.
127,úterý,сущ.,ср.р.,úterý,A1,Время и дата,вторник,вівторок,Tuesday,,,,V úterý mám lekci.,Во вторник у меня занятие.,У вівторок у мене заняття.,Úterý mi vyhovuje.,Вторник мне подходит.,Вівторок мені підходить.
128,včera,нареч.,,,A1,Время и дата,вчера,вчора,yesterday,,,,Včera jsem byl doma.,Вчера я был дома.,Учора я був удома.,Včera pršelo celý den.,Вчера весь день шёл дождь.,Учора весь день ішов дощ.
129,večer,сущ.,м.р.,večera,A1,Время и дата,вечер; вечером,вечір; увечері,evening,,"evening,sunset","https://loremflickr.com/640/480/evening,sunset",Večer se dívám na film.,Вечером я смотрю фильм.,Увечері я дивлюся фільм.,Dobrý večer!,Добрый вечер!,Добрий вечір!
130,víkend,сущ.,м.р.,víkendu,A1,Время и дата,выходные,вихідні,weekend,,weekend,https://loremflickr.com/640/480/weekend,O víkendu jedeme na chatu.,На выходных мы едем на дачу.,На вихідних ми їдемо на дачу.,Hezký víkend!,Хороших выходных!,Гарних вихідних!
131,vždycky,нареч.,,,A1,Время и дата,всегда,завжди,always,,,,Vždycky piju čaj ráno.,Я всегда пью чай утром.,Я завжди п'ю чай вранці.,Vždycky chodí pozdě.,Он всегда опаздывает.,Він завжди спізнюється.
132,září,сущ.,ср.р.,září,A1,Время и дата,сентябрь,вересень,September,,,,V září začíná škola.,В сентябре начинается школа.,У вересні починається школа.,Září bylo teplé.,Сентябрь был тёплым.,Вересень був теплим.
133,zima,сущ.,ж.р.,zimy,A1,Время и дата,зима; холод,зима; холод,winter; cold,,"winter,snow","https://loremflickr.com/640/480/winter,snow",V zimě je hodně sněhu.,Зимой много снега.,Взимку багато снігу.,Je mi zima.,Мне холодно.,Мені холодно.
134,zítra,нареч.,,,A1,Время и дата,завтра,завтра,tomorrow,,,,Zítra jdu k lékaři.,Завтра я иду к врачу.,Завтра я йду до лікаря.,Zítra bude pršet.,Завтра будет дождь.,Завтра буде дощ.
135,blízko,нареч.,,,A1,Город и ориентирование,близко,близько,near; close,,,,Bydlím blízko centra.,Я живу близко к центру.,Я живу близько до центру.,Zastávka je blízko.,Остановка близко.,Зупинка близько.
136,centrum,сущ.,ср.р.,centra,A1,Город и ориентирование,центр,центр,centre; downtown,,"downtown,city","https://loremflickr.com/640/480/downtown,city",Jedu do centra.,Я еду в центр.,Я їду в центр.,V centru je hodně turistů.,В центре много туристов.,У центрі багато туристів.
137,cesta,сущ.,ж.р.,cesty,A1,Город и ориентирование,дорога; путь; поездка,дорога; шлях,road; way; journey,,road,https://loremflickr.com/640/480/road,Cesta trvala dvě hodiny.,Дорога заняла два часа.,Дорога тривала дві години.,Šťastnou cestu!,Счастливого пути!,Щасливої дороги!
138,daleko,нареч.,,,A1,Город и ориентирование,далеко,далеко,far,,,,Bydlím daleko od práce.,Я живу далеко от работы.,Я живу далеко від роботи.,Je to daleko?,Это далеко?,Це далеко?
